what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ui.epl,3.0.0.1368752364,"com.aptana.ui.epl",1379876156204
started,bundle,com.aptana.formatter.epl,3.2.0.1341615906,"com.aptana.formatter.epl",1379876156650
opened,editor,com.aptana.editor.xml,3.0.0.1364002257,"com.aptana.editor.xml",1379876157064
started,bundle,com.aptana.ruby.debug.ui,3.0.2.1339543082,"com.aptana.ruby.debug.ui",1379876158475
activated,editor,com.aptana.editor.xml,3.0.0.1364002257,"com.aptana.editor.xml",1379876158483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876158551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1379876158666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876161555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876167515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1379876169818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1379876176958
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1379876177131
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1379876177172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876181266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876182455
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1379876188318
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1379876188486
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1379876194539
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876197086
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876198536
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1379876198581
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1379876201388
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1379876201427
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1379876202621
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1379876203395
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1379876203395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1379876214789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379876216073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379991198211
